,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
3455066,257,1,14554.54,0.0,0.0,1393557.3,1152887.32,0
4378985,311,3,2981.95,41003.0,38021.05,0.0,0.0,0
5447673,379,0,30656.51,8447254.69,8477911.2,1652056.45,1621399.93,0
5519059,380,1,139046.77,275.0,0.0,613514.29,752561.06,0
1219978,133,0,56403.43,9206963.6,9263367.04,1477712.19,1421308.76,0
704663,37,1,112562.54,30133.0,0.0,0.0,0.0,0
161508,12,3,20419.19,1830.0,0.0,0.0,0.0,0
3620785,274,3,884.31,1011.0,126.69,0.0,0.0,0
2483878,204,4,194605.15,179833.0,0.0,218530.16,413135.31,0
2916539,229,0,408068.76,3020954.94,3429023.71,3993259.28,3585190.52,0
4596714,328,1,148278.59,0.0,0.0,559236.84,707515.43,0
4636015,330,3,3227.2,14432.0,11204.8,0.0,0.0,0
4097167,301,1,133027.88,27144.0,0.0,220791.5,353819.38,0
4582913,328,1,49939.64,262.0,0.0,74139.08,124078.72,0
4871727,348,3,14129.62,9301.0,0.0,0.0,0.0,0
235448,14,0,281978.35,9947.0,291925.35,737.0,230390.92,0
2154187,184,1,95504.16,55753.0,0.0,616691.11,712195.27,0
3532866,259,4,558073.69,0.0,0.0,783207.52,1341281.21,0
1217330,133,1,62351.34,75280.0,12928.66,517241.0,674805.07,0
3647984,275,3,11971.69,94298.0,82326.31,0.0,0.0,0
2962440,230,0,77544.27,680274.4,757818.67,715136.74,637592.47,0
1121558,130,1,251510.3,31041.0,0.0,0.0,251510.3,0
1079878,129,1,122967.11,0.0,0.0,315922.83,438889.94,0
4544207,326,0,251952.25,8240.0,260192.25,1085036.02,833083.76,0
1901658,165,3,20020.61,141116.61,121096.01,0.0,0.0,0
4351036,309,3,2748.6,0.0,0.0,0.0,0.0,0
2585235,207,1,175825.01,0.0,0.0,178594.62,354419.63,0
3053743,234,3,25106.06,0.0,0.0,0.0,0.0,0
2958261,230,1,57023.97,20982.0,0.0,1004178.35,1061202.32,0
6295864,670,1,74103.27,259671.74,185568.47,257370.23,331473.5,0
2015908,180,1,37891.64,52001.0,14109.36,0.0,37891.64,0
4895786,349,0,35086.5,4395781.93,4430868.43,292022.69,256936.19,0
3705924,277,0,82534.5,773595.05,856129.55,11292790.52,11210256.02,0
1996425,179,3,301.03,319073.96,318772.94,0.0,0.0,0
2989166,231,1,393456.7,1555.0,0.0,41056.34,434513.04,0
5796185,401,1,118863.93,0.0,0.0,140889.72,259753.65,0
2271237,187,1,1561.78,0.0,0.0,139168.9,140730.68,0
4605733,329,0,404770.93,31400.0,436170.93,269953.19,0.0,0
4217461,305,3,7166.88,0.0,0.0,0.0,0.0,0
4570943,327,0,499380.8,1434413.45,1933794.24,626865.52,127484.73,0
750292,38,3,13119.97,15326.0,2206.03,0.0,0.0,0
428362,18,1,19358.73,0.0,0.0,537629.53,556988.26,0
5488070,380,3,7519.23,0.0,0.0,0.0,0.0,0
4593938,328,3,11361.68,51542.0,40180.32,0.0,0.0,0
5469998,379,1,118961.3,0.0,0.0,1506057.47,1625018.77,0
5998825,426,3,4341.45,0.0,0.0,0.0,0.0,0
1064449,119,1,148070.97,2002.0,0.0,2515489.7,2663560.67,0
3188644,240,3,12492.84,468.22,0.0,0.0,0.0,0
999762,45,3,6473.04,41299.72,34826.68,0.0,0.0,0
6125581,540,3,12665.89,0.0,0.0,0.0,0.0,0
6052200,495,3,10976.29,148427.0,137450.71,0.0,0.0,0
3496036,259,3,18397.48,0.0,0.0,0.0,0.0,0
1078443,129,0,138507.0,5523.0,144030.0,786575.37,648068.37,0
3836915,282,3,6964.41,2716.0,0.0,0.0,0.0,0
3369691,254,0,370220.37,20071.0,390291.37,89778.12,0.0,0
5692264,397,1,23164.18,20734.0,0.0,1834872.55,1858036.73,0
5777857,400,4,1604990.9,0.0,0.0,3017624.0,4622614.9,0
5909643,404,3,26276.22,227103.52,200827.3,0.0,0.0,0
1354191,137,1,173404.28,16728.0,0.0,1366828.92,1540233.19,0
3736220,278,3,3714.61,5038.0,1323.39,0.0,0.0,0
1168668,132,1,315231.94,50952.0,0.0,0.0,315231.94,0
772294,39,3,6136.09,219972.52,213836.44,0.0,0.0,0
5629408,395,3,46627.9,0.0,0.0,0.0,0.0,0
2669886,210,0,72955.07,12177753.68,12250708.75,1868927.57,1795972.5,0
1535664,154,0,418737.13,2817457.18,3236194.31,2459896.18,2041159.05,0
504506,20,4,453595.03,0.0,0.0,680669.24,1134264.27,0
2661474,210,1,315238.19,11054.0,0.0,514899.77,830137.96,0
323792,16,3,363.12,740530.27,740167.15,0.0,0.0,0
26221,8,1,15808.02,0.0,0.0,73507.28,89315.3,0
3136559,236,1,6380.8,53642.0,47261.2,560372.09,566752.89,0
2047302,181,0,238453.09,4022912.78,4261365.87,3319125.16,3080672.07,0
2202375,185,0,571289.71,4699959.64,5271249.35,875173.27,352035.21,0
1189739,132,3,32068.6,524466.65,492398.05,0.0,0.0,0
1821547,163,0,205114.46,8831862.42,9036976.87,315653.79,110539.34,0
6039627,483,0,73805.84,7469788.39,7543594.23,425152.49,351346.65,0
4437133,323,4,1140474.16,0.0,0.0,3434546.68,4575020.84,0
4565630,327,3,16017.72,0.0,0.0,0.0,0.0,0
5468073,379,0,113025.04,898054.15,1011079.18,1221272.8,1108247.77,0
3120815,236,1,41663.47,0.0,0.0,1702851.31,1744514.79,0
4354408,309,1,144375.1,0.0,0.0,520757.02,665132.12,0
5682862,397,0,80793.14,130496.0,211289.14,216790.66,135997.52,0
5004757,353,1,106987.51,0.0,0.0,1279502.5,1386490.0,0
578063,33,3,11290.06,36051.0,24760.94,0.0,0.0,0
5526126,381,0,35661.78,440.0,36101.78,3339.11,0.0,0
2049775,181,4,132195.25,0.0,0.0,388634.6,520829.86,0
5463570,379,1,7622.01,4829.0,0.0,448988.2,901763.84,0
3096393,235,1,84709.85,62572.18,0.0,2848932.61,2933642.46,0
2273265,187,3,3393.07,0.0,0.0,0.0,0.0,0
2976770,231,1,34975.52,0.0,0.0,39898.14,74873.66,0
6233342,594,2,1271.01,1881.0,609.99,2573079.77,2574350.78,0
2559667,206,3,7284.29,0.0,0.0,0.0,0.0,0
20201,8,3,16693.07,10200.0,0.0,0.0,0.0,0
1130489,131,1,324731.73,23151.0,0.0,0.0,324731.73,0
2259965,187,0,66603.69,11575368.71,11641972.4,2303154.41,2236550.72,0
381291,17,1,462668.1,0.0,0.0,11899495.58,12362163.68,0
3331717,253,3,1948.37,18736.09,16787.71,0.0,0.0,0
4708201,331,1,226323.76,0.0,0.0,233062.73,459386.48,0
2219457,186,1,70790.59,0.0,0.0,2379601.45,2450392.04,0
1951191,178,3,3074.2,41519.0,38444.8,0.0,0.0,0
360411,17,1,85180.51,0.0,0.0,439358.55,783681.46,0
2450936,203,1,77425.18,0.0,0.0,1783099.45,1860524.63,0
2906761,228,3,85848.84,10736.0,0.0,0.0,0.0,0
5693298,397,1,70622.64,0.0,0.0,644400.31,715022.95,0
1753539,161,1,60111.05,0.0,0.0,112552.07,172663.12,0
6092965,522,4,3635328.11,10436.0,0.0,273252.13,3908580.24,0
2835392,226,1,394788.96,46109.0,0.0,878562.21,1273351.17,0
3119255,236,3,7545.25,21532.0,13986.75,0.0,0.0,0
37089,9,1,513625.95,12561.0,0.0,17469.41,436980.32,0
6317499,687,0,273427.82,1517274.09,1790701.91,2998807.06,2725379.24,0
1780892,162,3,2607.6,21639.0,19031.4,0.0,0.0,0
1971913,178,3,816.44,0.0,0.0,0.0,0.0,0
4229141,306,0,152123.98,15295473.64,15447597.61,235400.03,83276.05,0
1093775,130,0,193327.4,8163932.05,8357259.46,198540.64,5213.23,0
2450365,203,3,8321.61,19643.0,11321.39,0.0,0.0,0
3784146,280,3,9334.66,1957.31,0.0,0.0,0.0,0
2909163,229,1,508328.07,0.0,0.0,1127221.4,1635549.47,0
4259821,306,1,186551.83,60791.0,0.0,82330.27,268882.1,0
4444786,323,0,114626.33,6026.0,120652.33,0.0,0.0,0
5234864,371,3,65523.58,933.0,0.0,0.0,0.0,0
3754395,279,1,279993.03,0.0,0.0,976646.65,1256639.68,0
4063808,300,3,23576.28,677285.96,653709.69,0.0,0.0,0
1260497,134,0,341710.58,50416.0,392126.58,158876.25,0.0,0
3307068,252,3,14842.26,32048.45,17206.19,0.0,0.0,0
4092245,301,4,11997957.55,0.0,0.0,12447196.39,24445153.94,0
511618,20,0,89068.41,14740.0,103808.41,2990615.54,2901547.13,0
2883962,228,1,440680.07,15841.0,0.0,3743431.87,4184111.94,0
836066,41,4,523111.11,0.0,0.0,1583965.36,2107076.47,0
1740064,161,3,10615.04,39125.36,28510.31,0.0,0.0,0
5878316,403,1,132552.28,0.0,0.0,229276.28,361828.56,0
5404891,377,0,98975.8,3825123.06,3924098.85,160840.74,61864.94,0
4449308,323,3,2136.11,550023.88,547887.77,0.0,0.0,0
436204,18,1,34749.34,56772.0,22022.66,0.0,34749.34,0
1891469,165,4,203737.03,0.0,0.0,316220.57,519957.6,0
3847014,282,1,100969.53,745206.68,644237.16,1120287.73,1221257.26,0
2313056,188,4,166922.22,9704.0,0.0,0.0,166922.22,0
4161846,304,3,20246.79,30244.0,9997.21,0.0,0.0,0
483911,19,4,500698.98,316628.0,0.0,19859.0,0.0,0
4328171,308,1,151663.59,147.0,0.0,0.0,151663.59,0
2291482,187,0,224391.54,1270931.64,1495323.18,357207.67,132816.13,0
4964956,351,4,888887.16,0.0,0.0,1691575.02,2580462.19,0
4649260,330,3,38749.56,6065.0,0.0,0.0,0.0,0
1045726,95,3,23709.5,38254.0,14544.5,0.0,0.0,0
5931542,404,3,1002.99,12118.0,11115.01,0.0,0.0,0
4292583,307,4,988204.68,0.0,0.0,1826796.49,2815001.17,0
2621063,208,0,78946.39,91851.0,170797.39,428287.89,349341.5,0
3752100,279,3,3858.9,205800.28,201941.38,0.0,0.0,0
1327743,137,1,13546.09,0.0,0.0,114223.18,127769.28,0
1945184,177,3,1399.22,0.0,0.0,0.0,0.0,0
5295049,373,0,242030.09,9325194.11,9567224.2,483873.6,241843.51,0
6338730,692,3,25845.83,0.0,0.0,0.0,0.0,0
2207985,186,3,4.9,96062.26,96057.36,0.0,0.0,0
4794651,345,3,19406.28,190270.6,170864.31,0.0,0.0,0
2592828,207,3,22036.15,105809.0,83772.85,0.0,0.0,0
396335,18,0,68665.93,8171033.95,8239699.88,812274.7,743608.77,0
848420,41,3,15897.57,38430.0,22532.43,0.0,0.0,0
3157317,237,1,87250.03,0.0,0.0,2075912.87,2163162.9,0
5357180,375,0,67147.7,1330147.22,1397294.92,124128.2,56980.49,0
368684,17,1,211226.92,40635.0,0.0,0.0,211226.92,0
4248555,306,3,12395.85,51213.96,38818.11,0.0,0.0,0
145287,11,0,285632.03,52243.71,337875.74,0.0,0.0,0
4125379,302,3,21013.18,0.0,0.0,0.0,0.0,0
5003179,353,3,4425.8,0.0,0.0,0.0,0.0,0
4387602,313,0,133241.13,10843787.86,10977028.98,346080.19,212839.07,0
2336570,189,3,4640.44,31844.0,27203.56,0.0,0.0,0
4702544,331,1,427503.76,27624.0,0.0,613947.4,1041451.16,0
4994898,352,1,165190.18,0.0,0.0,1219248.52,1384438.7,0
6014228,449,4,231894.75,25644.0,0.0,202654.11,434548.86,0
1745049,161,1,134528.85,0.0,0.0,271816.43,406345.27,0
3004881,232,3,4553.12,0.0,0.0,0.0,0.0,0
5496455,380,3,16050.32,24360.73,8310.41,0.0,0.0,0
6035297,476,3,8988.85,7833.0,0.0,0.0,0.0,0
1022129,47,1,238805.3,0.0,0.0,263026.76,501832.06,0
1763528,161,1,533315.62,0.0,0.0,1514949.19,2541728.38,0
149341,12,3,17455.94,11155.0,0.0,0.0,0.0,0
5906258,404,3,3752.41,10166.0,6413.59,0.0,0.0,0
1694566,159,3,595.67,0.0,0.0,0.0,0.0,0
731964,37,1,49194.93,20683.0,0.0,942001.33,991196.27,0
4995120,352,3,17647.97,0.0,0.0,0.0,0.0,0
1475754,141,4,217365.58,0.0,0.0,1493343.36,1710708.94,0
591620,33,3,349.91,102155.0,101805.09,0.0,0.0,0
6273332,637,3,2847.67,0.0,0.0,0.0,0.0,0
3434792,256,0,328660.16,24643605.65,24972265.81,743203.72,414543.57,0
2859914,227,0,691694.36,741162.4,1432856.76,4897628.17,4205933.81,0
6234501,594,0,355077.74,0.0,355077.74,3149408.32,2794330.58,0
6165132,550,1,77380.14,0.0,0.0,97492.46,174872.6,0
3257624,251,1,118105.95,17071.01,0.0,439941.66,558047.61,0
2936152,229,3,8200.25,11440.0,3239.75,0.0,0.0,0
729580,37,0,294938.98,12348.0,307286.98,0.0,0.0,0
4467172,324,1,285143.18,6460.0,0.0,87870.7,373013.88,0
2881105,228,4,451718.08,11778.0,0.0,49393.6,501111.68,0
4568813,327,0,145514.28,572.0,146086.28,0.0,0.0,0
4981659,352,3,1416.92,172461.86,171044.94,0.0,0.0,0
2218568,186,1,324633.29,0.0,0.0,4240563.47,4565196.77,0
228179,14,0,356037.76,214.0,356251.76,0.0,0.0,0
6272181,621,3,388.04,5551.0,5162.96,0.0,0.0,0
345437,16,1,13382.68,0.0,0.0,473907.47,604567.47,0
4195728,305,1,108722.4,7101.0,0.0,3671.88,112394.28,0
294807,15,1,10980.99,16032.0,5051.01,346728.3,416843.68,0
1652889,158,3,9117.31,308153.0,299035.69,0.0,0.0,0
4851228,347,3,44357.36,240.0,0.0,0.0,0.0,0
5537752,381,3,10215.92,127247.2,117031.29,0.0,0.0,0
3216389,249,3,17555.22,0.0,0.0,0.0,0.0,0
2451278,203,1,249873.27,0.0,0.0,370895.8,620769.07,0
2911787,229,3,20853.31,3076.0,0.0,0.0,0.0,0
5573416,393,1,151597.36,0.0,0.0,3082085.02,3233682.38,0
4628831,329,1,232585.8,165562.0,0.0,2026650.21,2259236.01,0
535331,21,1,193646.85,0.0,0.0,1584289.82,1777936.67,0
4672050,331,2,2919.72,10785.0,7865.28,106272.31,109192.03,0
24165,8,1,35025.56,0.0,0.0,106238.48,1966850.36,0
5432444,378,1,68342.8,51719.0,0.0,637737.06,565812.34,0
6002528,428,0,165172.6,2590140.06,2755312.66,221628.29,56455.69,0
742150,38,1,230990.44,0.0,0.0,1532626.25,1945749.16,0
1862316,164,1,274808.04,0.0,0.0,2584820.79,3960902.05,0
4019515,299,0,45786.65,2476041.25,2521827.9,171283.58,125496.93,0
5388033,376,1,200268.44,20640.0,0.0,477756.06,678024.5,0
5158037,357,0,191353.18,4521524.76,4712877.93,593960.23,402607.06,0
1641215,157,3,22774.91,0.0,0.0,0.0,0.0,0
4314924,308,3,9063.08,242587.29,233524.21,0.0,0.0,0
5412286,378,0,160816.78,8027878.52,8188695.3,909528.68,748711.9,0
2792945,215,3,3536.98,2241.22,0.0,0.0,0.0,0
2299945,188,0,210219.54,2908442.89,3118662.43,641613.97,431394.43,0
3208181,249,1,133262.43,0.0,0.0,744444.35,877706.78,0
3756576,279,3,2704.36,278488.58,275784.22,0.0,0.0,0
2145343,184,1,230292.27,2083.0,0.0,112441.92,335241.68,0
5781280,400,1,423485.76,49659.0,0.0,0.0,423485.76,0
2484414,204,0,330688.35,1076294.1,1406982.45,1213810.2,883121.85,0
2930651,229,1,40449.91,0.0,0.0,3027081.91,3067531.82,0
4076043,301,1,476298.8,0.0,0.0,2010463.39,2486762.19,0
2455835,203,1,132043.51,0.0,0.0,2711094.9,2704640.12,0
4404446,321,3,647.86,20912.0,20264.14,0.0,0.0,0
3249365,251,3,25764.72,154263.0,128498.28,0.0,0.0,0
6059212,500,1,34958.7,81227.0,46268.3,0.0,34958.7,0
559134,22,3,12877.22,740280.0,727402.78,0.0,0.0,0
4456721,323,0,312850.64,30496.0,343346.64,0.0,0.0,0
6229067,592,3,2855.88,58594.0,55738.12,0.0,0.0,0
1166440,132,1,111341.32,367645.87,256304.56,544458.75,655800.07,0
731154,37,0,624723.54,82815.0,707538.54,221351.15,0.0,0
3817825,281,3,21766.78,0.0,0.0,0.0,0.0,0
20391,8,0,172865.19,6652090.2,6824955.39,6259226.34,7428081.5,0
2417628,202,0,141892.33,40242.0,182134.33,0.0,0.0,0
2238566,186,3,27246.51,1081.0,0.0,0.0,0.0,0
6117039,528,3,30939.15,45410.95,14471.81,0.0,0.0,0
258920,14,1,72053.03,0.0,0.0,471628.0,499311.82,0
2635322,209,3,3285.57,0.0,0.0,0.0,0.0,0
2743202,212,3,3545.07,198896.35,195351.28,0.0,0.0,0
774706,39,3,1555.53,0.0,0.0,0.0,0.0,0
1663828,158,1,216803.7,31471.0,0.0,735043.84,951847.53,0
1959830,178,0,206010.19,4171222.97,4377233.16,682863.34,476853.15,0
2847889,227,3,20916.73,0.0,0.0,0.0,0.0,0
3000109,232,4,40052.27,21440.0,0.0,3766586.72,3806638.98,0
5759816,400,1,122300.72,51484.0,0.0,0.0,122300.72,0
2624131,208,1,363240.27,0.0,0.0,681084.43,1044324.7,0
5748049,399,1,98094.55,0.0,0.0,970471.07,1068565.62,0
2566940,206,3,1945.62,19942.0,17996.38,0.0,0.0,0
2226657,186,1,215151.03,0.0,0.0,605742.76,820893.79,0
4415540,322,1,287307.77,0.0,0.0,1069474.0,1356781.77,0
3244097,250,0,407359.73,1692102.35,2099462.08,1529631.96,1122272.22,0
5146380,356,1,369672.98,0.0,0.0,2783044.96,3152717.93,0
843076,41,3,6181.62,0.0,0.0,0.0,0.0,0
1620814,157,3,19809.05,124243.53,104434.48,0.0,0.0,0
312890,16,1,341986.68,0.0,0.0,810210.16,1525083.7,0
513982,20,3,4466.85,1722.1,0.0,0.0,0.0,0
3433222,256,0,314758.83,10791.0,325549.83,145219.51,0.0,0
3652199,275,4,58905.66,0.0,0.0,196558.77,255464.43,0
6022510,469,3,10564.56,0.0,0.0,0.0,0.0,0
5889561,403,1,102450.39,33190.0,0.0,0.0,102450.39,0
2698953,211,3,22161.32,51785.0,29623.68,0.0,0.0,0
5607938,394,1,106790.47,60027.0,0.0,153215.55,260006.01,0
5805809,401,3,9813.34,0.0,0.0,0.0,0.0,0
2792650,215,3,3432.88,0.0,0.0,0.0,0.0,0
1058007,96,0,76455.68,5209018.01,5285473.69,4182421.68,4105965.99,0
2247654,186,3,3806.46,10316.83,6510.38,0.0,0.0,0
1330050,137,1,59964.24,0.0,0.0,244603.07,304567.31,0
6030703,474,3,2722.61,0.0,0.0,0.0,0.0,0
3220545,250,1,114975.92,81707.0,0.0,0.0,114975.92,0
3272667,251,1,347312.7,53075.0,0.0,1217617.08,1564929.78,0
349465,17,3,17339.53,100889.0,83549.47,0.0,0.0,0
3112614,235,1,32562.89,0.0,0.0,314078.36,346641.25,0
2512463,205,0,149128.9,19014041.69,19163170.59,5033319.57,4884190.68,0
4124740,302,0,247691.45,29845.38,277536.84,603773.04,356081.59,0
1321855,136,0,48255.07,115997.0,164252.07,106891.0,0.0,0
3513654,259,0,66298.95,60969.0,127267.95,0.0,0.0,0
1555447,154,0,363626.22,4310395.0,4674021.23,3996984.58,3633358.35,0
5915044,404,0,129349.78,1412490.26,1541840.04,3218832.15,3089482.37,0
6286672,661,1,96014.77,0.0,0.0,1088735.94,1184750.71,0
3896966,284,0,169113.53,1399225.5,1568339.03,871831.61,702718.08,0
4861205,348,1,3476.01,40586.0,37109.99,73765.4,77241.4,0
2789348,215,0,117211.25,20399.0,137610.25,0.0,0.0,0
3537638,260,3,6291.48,56176.0,49884.52,0.0,0.0,0
2198974,185,3,8375.37,37895.0,29519.63,0.0,0.0,0
4362074,309,1,88615.42,11278.0,0.0,3617.75,92233.16,0
223212,14,3,17541.6,12954.7,0.0,0.0,0.0,0
3746496,279,3,1420.82,5107.0,3686.19,0.0,0.0,0
3777791,280,0,8662.02,131014.0,139676.02,0.0,0.0,0
4405029,321,0,415566.51,11850.0,427416.51,9511.67,0.0,0
114407,11,0,737.14,10386423.56,10387160.7,356168.96,786350.58,0
6125785,540,1,47481.9,0.0,0.0,744897.64,792379.54,0
2061952,181,1,278732.6,32149.0,0.0,2420893.86,2699626.46,0
5244023,371,0,166690.54,10432269.12,10598959.66,2005032.97,1838342.43,0
4636730,330,1,370848.51,9940.0,0.0,398546.68,769395.19,0
4704360,331,0,133628.83,32166.0,165794.83,4595.15,0.0,0
